,Species,Temp,Medium,unique_id,PopBio_units,model,a,b,c,d,y_0,y_max,mu_max,lam,residuals,fit_success,r_square,aic,bic,best
0,Acinetobacter.clacoaceticus..RDA.R.,15,TSB,Acinetobacter.clacoaceticus..RDA.R. 15 TSB,OD_595,linear,0.0,0.0,0.0,0.0,-0.953653013313969,0.0,3.817267762640242e-05,0.0,"[0.14055407287577315, 0.07634492345820887, 0.06436365374115449, 0.05265728072040521, 0.05242173091713487, 0.008923480542486706, -0.0015636489744799142, -0.011844423278850158, -0.03147156251185457, -0.04117205858032302, -0.0855399470147512, -0.11824266949148554, -0.11869214332883393, -0.11912385488204646, -0.16406055752786575, -0.17843370316460805, -0.20545980724317647, -0.1511739093029979, 0.0610063632213349, 0.33469124332794575, 0.4358155375159345]",1,0.9797779918651236,-12.184208898673475,-71.69058241782288,0
1,Acinetobacter.clacoaceticus..RDA.R.,15,TSB,Acinetobacter.clacoaceticus..RDA.R. 15 TSB,OD_595,quadratic,-1.1803309389418442,0.003001405459337057,-6.164163082252637e-06,0.0,0.0,0.0,0.0,0.0,"[-0.08235966277609408, -0.07932964839931644, -0.03118380760490047, 0.010124876602942812, 0.05579233074539103, 0.0510850310335883, 0.07227679889659111, 0.0865628686893164, 0.08439052027053218, 0.08503276173340935, 0.043895557547452335, 0.007311466036314274, -0.004131430118312074, -0.02184074296451788, -0.0928228488005246, -0.1395255766031701, -0.2059933161305152, -0.1982611069219885, -0.039746576412182266, 0.17068087023570944, 0.22804163498264596]",1,0.9905402770325319,-26.13850582231884,-84.60035690374482,0
2,Acinetobacter.clacoaceticus..RDA.R.,15,TSB,Acinetobacter.clacoaceticus..RDA.R. 15 TSB,OD_595,cubic,-1.3697286830701023,0.008190102281891803,-3.3520570339505656e-05,3.778029882595049e-08,0.0,0.0,0.0,0.0,"[0.09131425322967002, -0.010952992873284773, -0.040111394094114905, -0.05125482518044289, -0.03632825135451212, -0.053206088148595065, -0.028755405877053608, 0.0010781380716156086, 0.023600931812758352, 0.054945091696130266, 0.047375690447820196, 0.04408439464806091, 0.06251839523512903, 0.06739147817638702, 0.010769506153584407, -0.035149372276923274, -0.11681272837548407, -0.14339649342494454, -0.04145918660331405, 0.08328593063572676, 0.07106295095893311]",-2,0.9967490413740401,-46.56846267223601,-103.98579131593857,1
3,Acinetobacter.clacoaceticus..RDA.R.,15,TSB,Acinetobacter.clacoaceticus..RDA.R. 15 TSB,OD_595,logistic,0.0,0.0,0.0,0.0,-0.02775817930735279,-0.12652779992010776,0.05629606889832761,0.0,"[0.17809131553540958, 0.11479901564135031, 0.10373459542373087, 0.09294507180936795, 0.09362637105278704, 0.051044968334341134, 0.0414746810983565, 0.03211072829591677, 0.013400330239040414, 0.004616264830554884, -0.03883639330619393, -0.07062852568669054, -0.07018534631645412, -0.06982260248470606, -0.11417492972793075, -0.1290252604586748, -0.16048175665579456, -0.12535205151522144, 0.01785266147209441, 0.08404243916929777, -0.04923165289331122]",1,0.9931239269600595,-32.83740897245458,-91.29926005388057,0
4,Acinetobacter.clacoaceticus..RDA.R.,15,TSB,Acinetobacter.clacoaceticus..RDA.R. 15 TSB,OD_595,gompertz,0.0,0.0,0.0,0.0,-1.3383598201655988,-0.8969473734442804,0.3273882566546711,44.613495730638434,"[0.17895798555090947, 0.11566568566524948, 0.10460126548009951, 0.09381174199125453, 0.09449304171988859, 0.05191164087714473, 0.042341360892082514, 0.032977436119616566, 0.014267146418516563, 0.005483499881952403, -0.03796753902057137, -0.06975341196540141, -0.0692860362708454, -0.0688361617356884, -0.11282075140606851, -0.1262770475109064, -0.15238630205757053, -0.0971835546844172, -2.0802401443642538e-06, -0.05086188616851883, 0.05086188655956114]",1,0.9936567457783682,-32.53118054098269,-89.94850918468525,0
5,Acinetobacter.clacoaceticus..RDA.R.,15,TSB,Acinetobacter.clacoaceticus..RDA.R. 15 TSB,OD_595,buchanan,0.0,0.0,0.0,0.0,-1.38922170672516,-0.8969473734467346,0.02535355509529391,12.932447079866426,"[0.17895798554845532, 0.11566568566279534, 0.10460126547764537, 0.09381174198880038, 0.09449304171743445, 0.05191164087469058, 0.042341360889628366, 0.03297743611716242, 0.014267146416062415, 0.005483499879498255, -0.03796753902302552, -0.06975341196785556, -0.06928603627329954, -0.06883616173814255, -0.11282075140852266, -0.12627704751336055, -0.15238630206002468, -0.0971835545879417, -5.916378498227459e-12, -6.48658904367494e-12, 0.0]",1,0.9938590273133381,-33.211764780231846,-90.6290934239344,0
6,Acinetobacter.clacoaceticus..RDA.R.,15,TSB,Acinetobacter.clacoaceticus..RDA.R. 15 TSB,OD_595,baranyi,0.0,0.0,0.0,0.0,-1.3908729112807572,-0.8974947908667446,0.11827732370025035,29.69014104365822,"[0.17841056812844536, 0.11511826824278537, 0.1040538480576354, 0.09326432456879041, 0.09394562429742448, 0.05136422345468061, 0.04179394346961829, 0.03243001869714934, 0.013719728995998715, 0.00493608245856747, -0.038514956458808425, -0.07030082965805862, -0.06983345832176113, -0.06938365023773818, -0.11336952700939162, -0.1268477296723548, -0.15333191845216587, -0.10445694431431196, 0.022057734972904863, -0.013289413497669544, 0.008233929823335595]",1,0.9937720592417623,-32.916450303577946,-90.33377894728052,0
7,Acinetobacter.clacoaceticus..RDA.R.,25,TSB,Acinetobacter.clacoaceticus..RDA.R. 25 TSB,OD_595,linear,0.0,0.0,0.0,0.0,-1.2889374736246675,0.0,0.0029045538034022655,0.0,"[0.2535049875646045, 0.12629259292938966, -0.13671595763288835, -0.24686374166679925, -0.2675479412881644, -0.3092486912220269, -0.1362895701937581, -0.09081611373399445, -0.03838835232228055, -0.04239858439797395, 0.04027737639730167, 0.11405708648122403, 0.24252201147265917, 0.4916149857824754]",1,0.9719232204549875,3.22458946488777,-37.227574805612555,0
8,Acinetobacter.clacoaceticus..RDA.R.,25,TSB,Acinetobacter.clacoaceticus..RDA.R. 25 TSB,OD_595,quadratic,-1.4272943556670012,0.01663866783861886,-0.00010637677037479579,0.0,0.0,0.0,0.0,0.0,"[-0.11036945051611591, 0.10632963378042093, 0.06630940448117573, 0.05255964907951305, 0.006307379826533621, -0.18173118445157943, -0.1520776872756937, -0.11961115670008993, -0.07710160570183655, -0.09801027881436752, -0.029108098649424985, 0.02707239664412575, 0.1411822828772451, 0.36824871542384696]",1,0.9885646017298965,-7.3506197285331005,-47.16372666941817,0
9,Acinetobacter.clacoaceticus..RDA.R.,25,TSB,Acinetobacter.clacoaceticus..RDA.R. 25 TSB,OD_595,cubic,-1.5343257121535567,0.03476236853637172,-0.0004566439377802343,1.6421277480733151e-06,0.0,0.0,0.0,0.0,"[0.02966212461847273, -0.033002656517354234, -0.07419094549303662, 0.049228939619756384, 0.14601305168608525, -0.034049861427585926, -0.11541750519447969, -0.096356642058542, -0.06438498922524305, -0.10385773683334709, -0.05063862382230466, -0.01519368630301221, 0.08144156278119974, 0.2807469677140013]",1,0.9933947784414763,-13.034564170666979,-52.20861378193679,0
